ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000005.SZ,20230206,1.82,1.84,1.81,1.83,1.82,0.01,0.5495,37855.83,6918.321
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
000005.SZ,20230203,1.84,1.84,1.81,1.82,1.84,-0.02,-1.087,85652.57,15627.12
